 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:9543
 * Running on http://172.17.0.2:9543
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 138-778-947
172.21.0.4 - - [07/May/2024 23:22:46] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:22:47] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:23:09] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:23:52] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:23:56] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:24:04] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:24:05] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:24:08] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:24:10] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:24:23] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:25:02] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:25:04] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:25:11] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:25:17] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:25:28] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:25:32] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:25:34] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:25:35] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:25:44] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:26:01] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:26:17] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:26:30] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:26:39] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:26:54] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:26:55] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:27:07] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:27:21] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:27:30] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:27:44] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:27:54] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:27:54] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:28:05] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:28:09] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:28:18] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:28:23] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:28:35] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:28:40] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:28:40] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:28:49] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:28:53] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:28:58] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:29:04] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:29:26] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:29:36] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:29:46] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:29:59] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:30:12] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:30:25] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:30:25] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:30:31] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:30:37] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:31:02] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:31:04] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:31:14] "POST /record_run HTTP/1.1" 200 -
